release_date,artist,album,fantano_rating,review_link,number_user_reviews,number_critic_reviews,format,label,genres,producer,website,tracks,features,number_tracks,avg_track_rating,total_length,user_score,critic_score,info_link
"November 9, 2018",Trippie Redd,A Love Letter To You 3,70,https://www.youtube.com/watch?v=I9YcGpehDnk,505,3,Mixtape,TenThousand Projects,"Trap, Alternative R&B, Emo Rap","Diplo, King Henry, Honorable C.N.O.T.E., Elliott Trent, Dez Wright, Reske, Rex Kudo, Foreign Teck, Tariq Beats, Pas Beatz, OZ, We Are The Stars, Chopsquad DJ",NA,NA,NA,NA,NA,NA,67,65,https://www.albumoftheyear.org/album/127462-trippie-redd-a-love-letter-to-you-3.php
"September 21, 2018",JMSN,Velvet,70,https://www.youtube.com/watch?v=BbtNEZizabs,76,1,LP,White Room,"Alternative R&B, Neo-Soul",NA,NA,NA,NA,NA,NA,NA,78,70,https://www.albumoftheyear.org/album/122163-jmsn-velvet.php
"October 29, 2013",Toxic Holocaust,Chemistry of Consciousness,60,https://www.youtube.com/watch?v=PxeVDCXOoos,6,3,LP,Relapse,-,NA,NA,NA,NA,NA,NA,NA,75,70,https://www.albumoftheyear.org/album/86755-toxic-holocaust-chemistry-of-consciousness.php
"May 29, 2010",Tonetta,777,60,https://www.youtube.com/watch?v=EZOQBqCPQHc,17,2,LP,Black Tent Press,"Lo-Fi, Dance Punk",NA,NA,NA,NA,NA,NA,NA,74,63,https://www.albumoftheyear.org/album/24241-tonetta-777.php
"September 29, 2017",Protomartyr,Relatives in Descent,80,https://www.youtube.com/watch?v=5iHufSOWdqg,606,25,LP,Domino,"Post-Punk, Noise Rock","Protomartyr, Sonny DiPerri",NA,NA,NA,NA,NA,NA,81,83,https://www.albumoftheyear.org/album/84702-protomartyr-relatives-in-descent.php
"February 3, 2015",Matana Roberts,Coin Coin Chapter Three: River Run Thee,60,https://www.youtube.com/watch?v=E_rFDt6hVfc,74,9,LP,Constellation,Experimental,NA,NA,NA,NA,NA,NA,NA,70,77,https://www.albumoftheyear.org/album/25527-matana-roberts-coin-coin-chapter-three-river-run-thee.php
"September 14, 2018",Guerilla Toss,Twisted Crystal,80,https://www.youtube.com/watch?v=57r3E3XRNRk,148,9,LP,DFA,"Neo-Psychedelia, Dance Punk",NA,NA,NA,NA,NA,NA,NA,74,76,https://www.albumoftheyear.org/album/116483-guerilla-toss-twisted-crystal.php
"March 16, 2010",Happy Birthday,Happy Birthday,60,https://www.youtube.com/watch?v=U6Wxvlbu72c,8,7,LP,Sub Pop,Lo-Fi,NA,NA,NA,NA,NA,NA,NA,72,73,https://www.albumoftheyear.org/album/1624-happy-birthday-happy-birthday.php
"June 8, 2018",Kids See Ghosts,KIDS SEE GHOSTS,100,https://www.youtube.com/watch?v=9rkFbKVownA,6136,22,LP,"Def Jam, G.O.O.D. MUSIC, Wicked Awesome","Experimental Hip Hop, Alternative R&B, Pop Rap","Kanye West, Kid Cudi, Justin Vernon, benny blanco, Mike Dean",NA,"Feel the Love [93] (2:45) | Fire [89] (2:20) | 4th Dimension [93] (2:33) | Freeee (Ghost Town, Pt. 2) [91] (3:26) | Reborn [95] (5:24) | Kids See Ghosts [88] (4:05) | Cudi Montage [93] (3:17)",Pusha T | NA | Louis Prima | Ty Dolla $ign | NA | Yasiin Bey | NA,7,91.71428571428572,Total Length: 23 minutes,86,84,https://www.albumoftheyear.org/album/108509-kids-see-ghosts-kids-see-ghosts.php
"March 27, 2020",Nicolas Jaar,Cenizas,80,https://youtu.be/p_Db3vDJuWU,719,8,LP,Other People,"Ambient, Electronic",NA,nicolasjaar.net,"Vanish [97] (3:11) | Menysid [91] (3:58) | Cenizas [97] (4:39) | Agosto [92] (2:47) | Gocce [90] (3:56) | Mud [97] (7:13) | Vacíar [81] (2:17) | Sunder [80] (3:05) | Hello, Chain [94] (5:26) | Rubble [84] (3:01) | Garden [82] (5:25) | Xerox [83] (3:19) | Faith Made of Silk [89] (5:23)",NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,13,89,Total Length: 53 minutes,74,83,https://www.albumoftheyear.org/album/223133-nicolas-jaar-cenizas.php
"December 21, 2018",21 Savage,i am > i was,70,https://www.youtube.com/watch?v=cY27XD0ZRho,1220,8,LP,"Epic, Slaughter Gang","Trap, Southern Hip Hop","FKi 1st, Metro Boomin, Cardo, TM88, Southside, BEAM, DJ Dahi, Nija, Wheezy, 30 Roc, Cubeatz, Louis Bell, Nils, Dave Sava6e, Tiggi, J. White, Einer Bankz, Kid Hazel, Doughboy Beatz, ItsNicklus, Axl Folie, Roselilah",NA,a lot [92] (4:48) | break da law [85] (2:57) | a&t [55] (3:31) | out for the night [78] (2:17) | gun smoke [82] (2:47) | 1.5 [77] (52:28) | all my friends [83] (3:31) | can't leave without it [80] (3:25) | asmr [74] (2:51) | ball w/o you [85] (3:15) | good day [69] (4:02) | pad lock [71] (3:11) | monster [83] (3:53) | letter 2 my momma [77] (3:14) | 4L [74] (4:48),NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,15,77.66666666666667,Total Length: 51 minutes,73,78,https://www.albumoftheyear.org/album/131222-21-savage-i-am-i-was.php
"September 10, 2013",Holy Ghost!,Dynamics,70,https://www.youtube.com/watch?v=02FAk9TYCas,27,15,LP,DFA,Electronic,NA,NA,NA,NA,NA,NA,NA,74,65,https://www.albumoftheyear.org/album/8463-holy-ghost-dynamics.php
"November 24, 2014",I Am Your Destruction,I Am Your Destruction,70,https://www.youtube.com/watch?v=OAbaZQPj97o,NA,1,LP,-,-,NA,NA,NA,NA,NA,NA,NA,NR,70,https://www.albumoftheyear.org/album/240684-i-am-your-destruction-i-am-your-destruction.php
"May 27, 2014",Owen Pallett,In Conflict,70,https://www.youtube.com/watch?v=A46QN81TRQc,166,30,LP,"Domino, Secret City","Chamber Pop, Art Pop, Singer-Songwriter",NA,owenpalletteternal.com,NA,NA,NA,NA,NA,78,78,https://www.albumoftheyear.org/album/13445-owen-pallett-in-conflict.php
"March 30, 2014",IDYLLS,Prayer for Terrene,80,https://www.youtube.com/watch?v=VbXaF5EmTFk,16,1,LP,-,-,NA,NA,NA,NA,NA,NA,NA,77,80,https://www.albumoftheyear.org/album/39984-idylls-prayer-for-terrene.php
"April 19, 2019",Lizzo,Cuz I Love You,80,https://www.youtube.com/watch?v=sli3C0KTDh8,1687,28,LP,"Nice Life, Atlantic","Pop Soul, Pop Rap, Contemporary R&B, Pop, R&B, Hip Hop",NA,lizzomusic.com,Cuz I Love You [91] (2:59) | Like A Girl [83] (3:04) | Juice [92] (3:15) | Soulmate [79] (2:55) | Jerome [84] (3:51) | Cry Baby [80] (2:55) | Tempo [79] (2:55) | Exactly How I Feel [80] (2:23) | Better In Color [79] (2:13) | Heaven Help Me [84] (3:22) | Lingerie [80] (3:21),NA | NA | NA | NA | NA | NA | Missy Elliott | Gucci Mane | NA | NA | NA,11,82.81818181818181,Total Length: 33 minutes,73,82,https://www.albumoftheyear.org/album/137777-lizzo-cuz-i-love-you.php
"March 20, 2012",Unsane,Wreck,70,https://www.youtube.com/watch?v=T2Dodo3pAtc,9,9,LP,Alternative Tentacle,Noise Rock,NA,NA,NA,NA,NA,NA,NA,74,72,https://www.albumoftheyear.org/album/3511-unsane-wreck.php
"January 20, 2015",Björk,Vulnicura,80,https://www.youtube.com/watch?v=rTrT9V6MJeQ,1781,38,LP,One Little,"Art Pop, Chamber Pop","Björk, The Haxan Cloak, Arca",www.bjork.com,Stonemilker [97] (6:49) | Lionsong [94] (6:08) | History of Touches [90] (3:00) | Black Lake1 [95] (10:08) | Family [93] (8:02) | Notget [92] (6:26) | Atom Dance [90] (8:09) | Mouth Mantra [87] (6:09) | Quicksand [91] (3:45),NA | NA | NA | NA | NA | NA | ANOHNI | NA | NA,9,92.11111111111111,Total Length: 58 minutes,84,86,https://www.albumoftheyear.org/album/26282-bjork-vulnicura.php
"July 16, 2015",Wilco,Star Wars,60,https://www.youtube.com/watch?v=QPH3sIULI30,280,27,LP,dBpm,Indie Rock,"Jeff Tweedy, Tom Schick",wilcoworld.net,EKG [40] (1:15) | More... [60] (2:43) | Random Name Generator [60] (3:49) | The Joke Explained [60] (2:33) | You Satellite [60] (5:16) | Taste the Ceiling [100] (3:15) | Pickled Ginger [80] (2:29) | Where Do I Begin [80] (2:54) | Cold Slope [80] (3:11) | King of You [60] (2:40) | Magnetized [80] (3:40),NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,11,69.0909090909091,Total Length: 33 minutes,73,79,https://www.albumoftheyear.org/album/36854-wilco-star-wars.php
"November 11, 2016",A Tribe Called Quest,We got it from Here... Thank You 4 Your service,90,https://www.youtube.com/watch?v=k0vMdRfwFxY,1718,31,LP,Epic,"Conscious Hip Hop, Jazz Rap, East Coast Hip Hop",Q-Tip,NA,The Space Program [96] (5:41) | We the People… [95] (2:52) | Whateva Will Be [92] (2:52) | Solid Wall of Sound [94] (3:43) | Dis Generation [95] (3:33) | Kids... [92] (3:48) | Melatonin [91] (4:44) | Enough!! [90] (3:20) | Mobius [92] (2:51) | Black Spasmodic [91] (3:03) | The Killing Season [91] (2:43) | Lost Somebody [92] (4:19) | Movin Backwards [92] (4:41) | Conrad Tokyo [97] (3:31) | Ego [95] (3:17) | The Donald [93] (5:22),NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,16,93,"Total Length: 1 hour,",87,87,https://www.albumoftheyear.org/album/64923-a-tribe-called-quest-we-got-it-from-here-thank-you-for-your-service.php
"November 15, 2011",Childish Gambino,Camp,20,https://www.youtube.com/watch?v=EGFCKb5PfDA,925,19,LP,Glassnote Records,"Hip Hop, Pop Rap",Ludwig Göransson,NA,Outside [71] (4:30) | Fire Fly [76] (3:23) | Bonfire [79] (3:12) | All the Shine [61] (5:46) | Letter Home [59] (1:44) | Heartbeat [76] (4:29) | Backpackers [68] (3:15) | Les [78] (5:17) | Hold You Down [67] (4:52) | Kids [66] (4:57) | You See Me [57] (3:15) | Sunrise [74] (3:39) | That Power [73] (7:42),NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,13,69.61538461538461,Total Length: 56 minutes,57,66,https://www.albumoftheyear.org/album/2957-childish-gambino-camp.php
"May 13, 2022",Quelle Chris,Deathfame,70,https://www.youtube.com/watch?v=57Tjvv_pCXg,189,4,LP,Mello Music Group,"Abstract Hip Hop, Conscious Hip Hop","Knxwledge, Quelle Chris, Chris Keys",NA,TEYC [68] (0:36) | Alive Ain't Always Living [87] (4:01) | King in Black [81] (3:12) | PS1 (Pontiac Sunfire 1) [71] (0:48) | Feed the Heads [82] (3:10) | So Tired You Can't Stop Dreaming [91] (3:41) | Die Happy Knowing They'll Care [73] (1:50) | DEATHFAME [82] (3:25) | The Agency of the Future [82] (3:08) | Help I'm Dead [76] (1:07) | How Could They Love Something Like Me? [73] (3:20) | Cui Prodest [88] (4:33) | The Sky is Blue Because the Sunset is Red [92] (5:56) | Excuse My Back [77] (3:05),"NA | NA | NA | NA | NA | Navy Blue | NA | NA | NA | NA | NA | Denmark Vessey, J Jig Cicero | Moruf, Pink Siifu | Cavalier",14,80.21428571428571,Total Length: 41 minutes,74,77,https://www.albumoftheyear.org/album/490492-quelle-chris-deathfame.php
"November 20, 2012",Tim Hecker & Daniel Lopatin,Instrumental Tourist,50,https://www.youtube.com/watch?v=lMMpw5VCywc,49,24,LP,Software,"Ambient, Drone, Experimental",NA,NA,NA,NA,NA,NA,NA,68,70,https://www.albumoftheyear.org/album/4519-tim-hecker-daniel-lopatin-instrumental-tourist.php
"May 15, 2012",Beach House,Bloom,80,https://www.youtube.com/watch?v=S9Up_xgbZaQ,2119,38,LP,Sub Pop,"Dream Pop, Indie Pop","Beach House, Chris Coady",www.beachhousebaltimore.com,Myth [97] (4:18) | Wild [95] (4:58) | Lazuli [95] (5:01) | Other People [91] (4:24) | The Hours [89] (4:11) | Troublemaker [90] (4:55) | New Year [90] (5:25) | Wishes [94] (4:46) | On the Sea [94] (5:32) | Irene1 [90] (16:57),NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,10,92.5,"Total Length: 1 hour,",87,76,https://www.albumoftheyear.org/album/3482-beach-house-bloom.php
"February 19, 2016",Various Artists,Star Wars Headspace,20,https://www.youtube.com/watch?v=mmoxvwDfyCc,18,6,Compilation,"Hollywood, American Recordings","Electronic Dance Music, Acid House",NA,NA,NA,NA,NA,NA,NA,28,42,https://www.albumoftheyear.org/album/49768-various-artists-star-wars-headspace.php
"July 26, 2019",Swain,Negative Space,70,https://www.youtube.com/watch?v=uo6oJFhvW3s,58,1,LP,End Hits,Alternative Rock,NA,NA,NA,NA,NA,NA,NA,68,70,https://www.albumoftheyear.org/album/160973-swain-negative-space.php
"April 24, 2012",Jack White,Blunderbuss,60,https://www.youtube.com/watch?v=vcTtK_FlGsU,401,39,LP,Third Man,"Blues Rock, Garage Rock",Jack White,jackwhiteiii.com,Missing Pieces [85] (3:26) | Sixteen Saltines [84] (2:37) | Freedom At 21 [85] (212:51) | Love Interruption [79] (2:37) | Blunderbuss [79] (3:06) | Hypocritical Kiss [92] (2:50) | Weep Themselves to Sleep [83] (4:19) | I'm Shakin' [80] (3:00) | Trash Tongue Talker [77] (3:20) | Hip (Eponymous) Poor Boy [70] (3:03) | I Guess I Should Go to Sleep [70] (2:37) | On and On and On [73] (3:55) | Take Me With You When You Go [83] (4:07),NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,13,80,Total Length: 41 minutes,76,81,https://www.albumoftheyear.org/album/3372-jack-white-blunderbuss.php
"July 31, 2016",Lil Uzi Vert,The Perfect LUV Tape,30,https://www.youtube.com/watch?v=Pq3J2noL6tY,594,4,Mixtape,"Generation Now, Atlantic","Pop Rap, Trap",NA,www.liluziofficial.com,Do What I Want [79] (2:55) | Of Course We Ghetto Flowers [78] (4:21) | Original Uzi (4 of Us) [73] (2:46) | Money Mitch [63] (4:07) | SideLine Watching (Hold Up) [70] (3:11) | I Can Drive [76] (2:33) | You're Lost [77] (2:38) | Erase Your Social [83] (3:19) | Ronda (Winners) [72] (3:36) | Seven Million [73] (3:02),"NA | Playboi Carti, Offset | NA | NA | NA | NA | NA | NA | NA | Future",10,74.4,Total Length: 32 minutes,65,55,https://www.albumoftheyear.org/album/58908-lil-uzi-vert-the-perfect-luv-tape.php
"March 26, 2021",NF,CLOUDS (THE MIXTAPE),50,https://www.youtube.com/watch?v=jM2eCUscL1g,293,2,Mixtape,-,"Conscious Hip Hop, Hip Hop","NF, Tommee Profitt, Saint X",NA,CLOUDS [81] (4:03) | THAT'S A JOKE [55] (3:49) | JUST LIKE YOU [65] (4:11) | STORY [73] (4:39) | PRIDEFUL [54] (3:25) | LOST [72] (3:54) | LAYERS [60] (3:15) | DRIFTING [68] (3:20) | TRUST [63] (4:24) | PAID MY DUES [69] (3:31) | CLOUDS (Edit) [74] (3:49),NA | NA | NA | NA | NA | Hopsin | NA | NA | Tech N9ne | NA | NA,11,66.72727272727273,Total Length: 42 minutes,55,60,https://www.albumoftheyear.org/album/337174-nf-clouds.php
"March 11, 2016",Flatbush Zombies,3001: A Laced Odyssey,60,https://www.youtube.com/watch?v=pZzjXiRUDHw,328,9,LP,Glorious Dead,"Hip Hop, Abstract Hip Hop",Erick the Architect,NA,NA,NA,NA,NA,NA,73,75,https://www.albumoftheyear.org/album/48251-flatbush-zombies-3001-a-laced-odyssey.php
"October 22, 2021",Parquet Courts,Sympathy for Life,60,https://youtu.be/Bjm9BdhuvRY,481,27,LP,Rough Trade,"Post-Punk, Art Punk, Indie Rock, Dance Punk",NA,NA,Walking at a Downtown Pace [79] (4:46) | Black Widow Spider [64] (2:50) | Marathon of Anger [68] (4:35) | Just Shadows [61] (3:56) | Plant Life [65] (5:50) | Application/Apparatus [62] (4:36) | Homo Sapien [69] (2:55) | Sympathy for Life [74] (2:50) | Zoom Out [66] (3:02) | Trullo [55] (3:01) | Pulcinella [71] (6:44),NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,11,66.72727272727273,Total Length: 45 minutes,65,77,https://www.albumoftheyear.org/album/384250-parquet-courts-sympathy-for-life.php
"July 31, 2015",Lianne La Havas,Blood,80,https://www.youtube.com/watch?v=Emyn3FF_V18,277,19,LP,Warner Bros.,"Neo-Soul, Pop Soul","Jamie Lidell, Lianne La Havas, Paul Epworth, Mark Batson, Matt Hales, Stephen McGregor",liannelahavas.com,NA,NA,NA,NA,NA,78,73,https://www.albumoftheyear.org/album/31894-lianne-la-havas-blood.php
"October 2, 2015",Deafheaven,New Bermuda,60,https://www.youtube.com/watch?v=yE60qIXvHYg,553,22,LP,Anti-,"Atmospheric Black Metal, Blackgaze",NA,deafheaven.com,Brought to the Water [92] (8:37) | Luna1 [88] (10:14) | Baby Blue1 [89] (10:06) | Come Back [83] (9:16) | Gifts for the Earth [85] (8:22),NA | NA | NA | NA | NA,5,87.4,Total Length: 46 minutes,80,80,https://www.albumoftheyear.org/album/37673-deafheaven-new-bermuda.php
"August 26, 2016",Glass Animals,How to Be a Human Being,60,https://www.youtube.com/watch?v=fWxQJiyLK1k,544,18,LP,Wolf Tone,"Indietronica, Art Pop","Dave Bayley, John Bettis",glassanimals.eu,Life Itself [89] (4:41) | Youth [90] (3:50) | Season 2 Episode 3 [84] (34:03) | Pork Soda [81] (4:13) | Mama's Gun [91] (4:26) | Cane Shuga [81] (3:16) | [Premade Sandwiches] [68] (0:36) | The Other Side of Paradise [85] (5:20) | Take a Slice [84] (3:49) | Poplar St. [84] (4:22) | Agnes [85] (4:31),NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,11,83.81818181818181,Total Length: 43 minutes,77,76,https://www.albumoftheyear.org/album/56251-glass-animals-how-to-be-a-human-being.php
"May 6, 2014",Tune-Yards,Nikki Nack,80,https://www.youtube.com/watch?v=yS27JEUJXXc,302,34,LP,4AD,Art Pop,NA,tune-yards.com,Find a New Way [90] (3:27) | Water Fountain [100] (3:03) | Time of Dark [89] (4:33) | Real Thing [100] (3:21) | Look Around [97] (4:25) | Hey Life [99] (3:37) | Sink-O [87] (3:16) | Why Do We Dine On the Tots? [75] (1:27) | Stop That Man [90] (3:32) | Wait for a Minute [94] (3:53) | Left Behind [96] (4:31) | Rocking Chair [99] (2:03) | Manchild [89] (3:09),NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,13,92.6923076923077,Total Length: 44 minutes,77,82,https://www.albumoftheyear.org/album/14113-tune-yards-nikki-nack.php
"July 10, 2012",Aesop Rock,Skelethon,70,https://www.youtube.com/watch?v=jO5gV6w8epQ,223,18,LP,Rhymesayers,"Abstract Hip Hop, Experimental Hip Hop, East Coast Hip Hop",NA,NA,NA,NA,NA,NA,NA,79,76,https://www.albumoftheyear.org/album/3538-aesop-rock-skelethon.php
"June 17, 2016",case/lang/veirs,case/lang/veirs,70,https://www.youtube.com/watch?v=_PXWBSJGAag,163,26,LP,Anti-,"Folk, Chamber Folk",NA,NA,NA,NA,NA,NA,NA,76,81,https://www.albumoftheyear.org/album/51025-caselangveirs-caselangveirs.php
"December 11, 2012",Big Boi,Vicious Lies and Dangerous Rumors,50,https://www.youtube.com/watch?v=r3XRB7afE84,73,24,LP,"Purple Ribbon, Def Jam",Hip Hop,NA,bigboi.com,NA,NA,NA,NA,NA,66,70,https://www.albumoftheyear.org/album/3773-big-boi-vicious-lies-and-dangerous-rumors.php
"March 17, 2022",Bladee & Ecco2k,Crest,80,https://www.youtube.com/watch?v=SmDls15895I,973,2,LP,YEAR0001,"Cloud Rap, Synthpop",Whitearmor,NA,The Flag Is Raised [84] (2:59) | 5 Star Crest (4 Vattenrum) [79] (8:49) | White Meadow [80] (3:29) | Faust [77] (2:05) | Yeses (Red Cross) [73] (3:01) | Desire Is a Trap [77] (2:50) | Chaos Follows [80] (2:30) | Girls Just Want to Have Fun [85] (2:14) | Heaven Sings [78] (2:52),NA | NA | NA | NA | NA | NA | NA | NA | NA,9,79.22222222222223,Total Length: 30 minutes,74,80,https://www.albumoftheyear.org/album/482613-bladee-ecco2k-crest.php
"September 6, 2018",Hozier,Nina Cried Power,60,https://www.youtube.com/watch?v=gg0jnJwce3w,97,3,EP,Columbia,"Singer-Songwriter, Blues Rock",NA,hozier.com,NA,NA,NA,NA,NA,67,70,https://www.albumoftheyear.org/album/120809-hozier-nina-cried-power.php
"December 21, 2012",Pro Era,PEEP: The aPROcalypse,80,https://www.youtube.com/watch?v=P__GsC98jPw,53,4,Mixtape,-,Hip Hop,NA,NA,NA,NA,NA,NA,NA,77,75,https://www.albumoftheyear.org/album/10365-pro-era-peep-the-aprocalypse.php
"September 15, 2017",Myrkur,Mareridt,60,https://www.youtube.com/watch?v=NOvcBmZCRJ8,60,6,LP,Relapse,"Atmospheric Black Metal, Dark Folk",NA,NA,NA,NA,NA,NA,NA,73,86,https://www.albumoftheyear.org/album/83303-myrkur-mareridt.php
"February 8, 2019",Panda Bear,Buoys,60,https://www.youtube.com/watch?v=VCGwCQDMEi8,352,23,LP,Domino,"Folktronica, Neo-Psychedelia, Psychedelic Folk","Panda Bear, Rusty Santos",NA,NA,NA,NA,NA,NA,60,68,https://www.albumoftheyear.org/album/127409-panda-bear-buoys.php
"November 11, 2013",Lady Gaga,ARTPOP,60,https://www.youtube.com/watch?v=2lR7MWjLGDU,1454,30,LP,Interscope,"Pop, Electropop, Dance Pop, Art Pop","Lady Gaga, David Guetta, will.i.am, Madeon, Zedd, Infected Mushroom, Rick Rubin, Giorgio Tuinfort, DJ White Shadow, Dino Zisis, Nick Monson",www.ladygaga.com,Aura [82] (3:55) | Venus [87] (3:53) | G.U.Y. [86] (3:52) | Sexxx Dreams [77] (3:34) | Jewels N' Drugs [39] (3:48) | MANiCURE [76] (3:19) | Do What U Want [80] (3:47) | ARTPOP [77] (4:07) | Swine [62] (4:28) | Donatella [72] (4:24) | Fashion! [74] (3:59) | Mary Jane Holland [70] (4:37) | Dope [75] (3:41) | Gypsy [83] (4:08) | Applause [89] (3:32),"NA | NA | NA | NA | T.I., Too $hort, Twista | NA | R. Kelly | NA | NA | NA | NA | NA | NA | NA | NA",15,75.26666666666667,Total Length: 59 minutes,69,62,https://www.albumoftheyear.org/album/8497-lady-gaga-artpop.php
"March 8, 2019",Juice WRLD,Death Race for Love,60,https://www.youtube.com/watch?v=M1SvOEAhll8,982,14,LP,"Interscope, Grade A","Pop Rap, Emo Rap",NA,NA,Empty [85] (4:08) | Maze [78] (2:24) | HeMotions [71] (3:07) | Demonz [68] (1:35) | Fast [82] (3:28) | Hear Me Calling [78] (3:09) | Big [71] (3:44) | Robbery [86] (4:00) | Flaws and Sins [83] (3:38) | Feeling [81] (3:21) | Syphilis [70] (2:11) | Who Shot Cupid? [75] (3:34) | Ring Ring [70] (2:51) | Desire [68] (3:09) | Out My Way [71] (2:36) | The Bees Knees [71] (5:25) | ON GOD [62] (4:10) | 10 Feet [68] (3:32) | Won't Let Go [67] (3:20) | She's the One [68] (3:08) | Rider [73] (3:12) | Make Believe [81] (2:22),NA | NA | NA | Brent Faiyaz | NA | NA | NA | NA | NA | NA | NA | NA | CLEVER | NA | NA | NA | Young Thug | NA | NA | NA | NA | NA,22,73.95454545454545,"Total Length: 1 hour, 12 minutes",57,61,https://www.albumoftheyear.org/album/141914-juice-wrld-death-race-for-love.php
"October 25, 2010",Diamond Rings,Special Affections,80,https://www.youtube.com/watch?v=Cy_FBsloKIk,19,10,LP,Secret City,Electronic,NA,www.diamondringsmusic.com,NA,NA,NA,NA,NA,71,80,https://www.albumoftheyear.org/album/2178-diamond-rings-special-affections.php
"October 1, 2021",illuminati hotties,Let Me Do One More,80,https://www.youtube.com/watch?v=D8nsZQJpFRM,429,14,LP,"Hopeless, Snack Shack Tracks","Indie Rock, Indie Pop, Garage Punk",NA,NA,Pool Hopping [85] (3:07) | Mmmoooaaaaayaya [84] (3:04) | Knead [82] (3:27) | Threatening Each Other re: Capitalism [82] (4:43) | u v v p [77] (4:44) | Protector [74] (4:31) | Joni: LA's No. 1 Health Goth [73] (3:37) | Kickflip [76] (2:24) | Toasting [72] (0:37) | The Sway [77] (3:35) | Cheap Shoes [77] (2:59) | Growth [76] (4:08),NA | NA | NA | NA | Buck Meek | NA | NA | NA | Alex Menne | NA | NA | NA,12,77.91666666666667,Total Length: 41 minutes,74,81,https://www.albumoftheyear.org/album/378335-illuminati-hotties-let-me-do-one-more.php
"June 9, 2017",Kirin J Callinan,Bravado,80,https://www.youtube.com/watch?v=sFZgERqFK4g,195,5,LP,Universal Australia,Art Pop,NA,NA,NA,NA,NA,NA,NA,69,74,https://www.albumoftheyear.org/album/81191-kirin-j-callinan-bravado.php
"November 1, 2018",Action Bronson,White Bronco,50,https://www.youtube.com/watch?v=n5Pehmoo-SE,146,4,LP,Empire,"Hip Hop, East Coast Hip Hop",NA,NA,NA,NA,NA,NA,NA,65,60,https://www.albumoftheyear.org/album/126647-action-bronson-white-bronco.php
"November 18, 2014",Andy Stott,Faith in Strangers,70,https://www.youtube.com/watch?v=Zfwb4JxJU7M,260,17,LP,Modern Love,"Deconstructed Club, Dub Techno",NA,NA,Time Away [NA] (6:24) | Violence [NA] (6:37) | On Oath [NA] (8:08) | Science & Industry [NA] (5:32) | No Surrender [NA] (4:58) | How It Was [NA] (6:09) | Damage [NA] (4:35) | Faith In Strangers [NA] (6:29) | Missing [NA] (4:55),NA | NA | NA | NA | NA | NA | NA | NA | NA,9,NA,Total Length: 53 minutes,79,81,https://www.albumoftheyear.org/album/20712-andy-stott-faith-in-strangers.php
"April 8, 2022",Wet Leg,Wet Leg,60,https://youtu.be/1uAgJUrgQQ4,1032,38,LP,Domino,"Indie Rock, Post-Punk, Post-Punk Revival","Dan Carey, Jon McMullen, Josh Mobaraki",NA,Being in Love [75] (2:02) | Chaise Longue [80] (3:19) | Angelica [82] (3:52) | I Don't Wanna Go Out [70] (3:41) | Wet Dream [80] (2:20) | Convincing [69] (2:37) | Loving You [71] (3:39) | Ur Mum [76] (3:21) | Oh No [72] (2:29) | Piece of Shit [71] (2:48) | Supermarket [68] (3:10) | Too Late Now [76] (3:29),NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,12,74.16666666666667,Total Length: 36 minutes,72,83,https://www.albumoftheyear.org/album/442494-wet-leg-wet-leg.php
"February 7, 2016",Bones,Useless,70,https://www.youtube.com/watch?v=9wxdMu-73hw,98,1,Mixtape,TeamSESH,"Hip Hop, Cloud Rap",NA,NA,NA,NA,NA,NA,NA,77,70,https://www.albumoftheyear.org/album/50073-bones-useless.php
"November 28, 2012",Captain Murphy,Duality,70,https://www.youtube.com/watch?v=aVCMiepR6wA,105,3,Mixtape,-,"Hip Hop, Abstract Hip Hop, Experimental Hip Hop, West Coast Hip Hop",NA,www.captainmurphy.xxx,NA,NA,NA,NA,NA,78,77,https://www.albumoftheyear.org/album/4515-captain-murphy-duality.php
"November 6, 2015",Busdriver,Thumbs,60,https://www.youtube.com/watch?v=kH4xS9EFZGE,57,2,Mixtape,Temporary Whatever,"Hip Hop, Abstract Hip Hop, Conscious Hip Hop, West Coast Hip Hop",NA,NA,NA,NA,NA,NA,NA,68,70,https://www.albumoftheyear.org/album/44204-busdriver-thumbs.php
